sentence,label
I completed B.Tech in Computer Science from IIT Delhi,education
Pursuing Master of Science in Artificial Intelligence,education
Graduated with B.E. in Computer Engineering,education
Completed high school in 2018,education

Worked at Google as a Software Engineer,experience
Completed internship at Microsoft as a Web Developer,experience
Software Developer at Infosys for 2 years,experience
Worked as Backend Engineer using Node.js and SQL,experience

Built a React portfolio website,project
Developed a Resume Parser using Python,project
Created an AI chatbot using TensorFlow,project

Python, JavaScript, React,skills
Skilled in C++, SQL, MongoDB,skills
Experienced in HTML, CSS, and Flask,skills
